municipality_number,municipality_name,region_code,region_name,rent_region_code
005,Alajärvi,14,South Ostrobothnia,MK14
009,Alavieska,17,North Ostrobothnia,MK17
010,Alavus,14,South Ostrobothnia,MK14
016,Asikkala,07,Päijät-Häme,MK07
018,Askola,01,Uusimaa,MK01
019,Aura,02,Southwest Finland,MK02
020,Akaa,06,Pirkanmaa,MK06
035,Brändö,21,Åland,
043,Eckerö,21,Åland,
046,Enonkoski,10,South Savo,MK10
047,Enontekiö,19,Lapland,MK19
049,Espoo,01,Uusimaa,MK01
050,Eura,04,Satakunta,MK04
051,Eurajoki,04,Satakunta,MK04
052,Evijärvi,14,South Ostrobothnia,MK14
060,Finström,21,Åland,
061,Forssa,05,Kanta-Häme,MK05
062,Föglö,21,Åland,
065,Geta,21,Åland,
069,Haapajärvi,17,North Ostrobothnia,MK17
071,Haapavesi,17,North Ostrobothnia,MK17
072,Hailuoto,17,North Ostrobothnia,MK17
074,Halsua,16,Central Ostrobothnia,MK16
075,Hamina,08,Kymenlaakso,MK08
076,Hammarland,21,Åland,
077,Hankasalmi,13,Central Finland,MK13
078,Hanko,01,Uusimaa,MK01
079,Harjavalta,04,Satakunta,MK04
081,Hartola,07,Päijät-Häme,MK07
082,Hattula,05,Kanta-Häme,MK05
086,Hausjärvi,05,Kanta-Häme,MK05
090,Heinävesi,12,North Karelia,MK12
091,Helsinki,01,Uusimaa,MK01
092,Vantaa,01,Uusimaa,MK01
097,Hirvensalmi,10,South Savo,MK10
098,Hollola,07,Päijät-Häme,MK07
102,Huittinen,04,Satakunta,MK04
103,Humppila,05,Kanta-Häme,MK05
105,Hyrynsalmi,18,Kainuu,MK18
106,Hyvinkää,01,Uusimaa,MK01
108,Hämeenkyrö,06,Pirkanmaa,MK06
109,Hämeenlinna,05,Kanta-Häme,MK05
111,Heinola,07,Päijät-Häme,MK07
139,Ii,17,North Ostrobothnia,MK17
140,Iisalmi,11,North Savo,MK11
142,Iitti,07,Päijät-Häme,MK07
143,Ikaalinen,06,Pirkanmaa,MK06
145,Ilmajoki,14,South Ostrobothnia,MK14
146,Ilomantsi,12,North Karelia,MK12
148,Inari,19,Lapland,MK19
149,Ingå,01,Uusimaa,MK01
151,Isojoki,14,South Ostrobothnia,MK14
152,Isokyrö,14,South Ostrobothnia,MK14
153,Imatra,09,South Karelia,MK09
165,Janakkala,05,Kanta-Häme,MK05
167,Joensuu,12,North Karelia,MK12
169,Jokioinen,05,Kanta-Häme,MK05
170,Jomala,21,Åland,
171,Joroinen,11,North Savo,MK11
172,Joutsa,13,Central Finland,MK13
176,Juuka,12,North Karelia,MK12
177,Juupajoki,06,Pirkanmaa,MK06
178,Juva,10,South Savo,MK10
179,Jyväskylä,13,Central Finland,MK13
181,Jämijärvi,04,Satakunta,MK04
182,Jämsä,13,Central Finland,MK13
186,Järvenpää,01,Uusimaa,MK01
202,Kaarina,02,Southwest Finland,MK02
204,Kaavi,11,North Savo,MK11
205,Kajaani,18,Kainuu,MK18
208,Kalajoki,17,North Ostrobothnia,MK17
211,Kangasala,06,Pirkanmaa,MK06
213,Kangasniemi,10,South Savo,MK10
214,Kankaanpää,04,Satakunta,MK04
216,Kannonkoski,13,Central Finland,MK13
217,Kannus,16,Central Ostrobothnia,MK16
218,Karijoki,14,South Ostrobothnia,MK14
224,Karkkila,01,Uusimaa,MK01
226,Karstula,13,Central Finland,MK13
230,Karvia,04,Satakunta,MK04
231,Kaskinen,15,Ostrobothnia,MK15
232,Kauhajoki,14,South Ostrobothnia,MK14
233,Kauhava,14,South Ostrobothnia,MK14
235,Kauniainen,01,Uusimaa,MK01
236,Kaustinen,16,Central Ostrobothnia,MK16
239,Keitele,11,North Savo,MK11
240,Kemi,19,Lapland,MK19
241,Keminmaa,19,Lapland,MK19
244,Kempele,17,North Ostrobothnia,MK17
245,Kerava,01,Uusimaa,MK01
249,Keuruu,13,Central Finland,MK13
250,Kihniö,06,Pirkanmaa,MK06
256,Kinnula,13,Central Finland,MK13
257,Kirkkonummi,01,Uusimaa,MK01
260,Kitee,12,North Karelia,MK12
261,Kittilä,19,Lapland,MK19
263,Kiuruvesi,11,North Savo,MK11
265,Kivijärvi,13,Central Finland,MK13
271,Kokemäki,04,Satakunta,MK04
272,Kokkola,16,Central Ostrobothnia,MK16
273,Kolari,19,Lapland,MK19
275,Konnevesi,13,Central Finland,MK13
276,Kontiolahti,12,North Karelia,MK12
280,Korsnäs,15,Ostrobothnia,MK15
284,Koski Tl,02,Southwest Finland,MK02
285,Kotka,08,Kymenlaakso,MK08
286,Kouvola,08,Kymenlaakso,MK08
287,Kristinestad,15,Ostrobothnia,MK15
288,Kronoby,15,Ostrobothnia,MK15
290,Kuhmo,18,Kainuu,MK18
291,Kuhmoinen,06,Pirkanmaa,MK06
295,Kumlinge,21,Åland,
297,Kuopio,11,North Savo,MK11
300,Kuortane,14,South Ostrobothnia,MK14
301,Kurikka,14,South Ostrobothnia,MK14
304,Kustavi,02,Southwest Finland,MK02
305,Kuusamo,17,North Ostrobothnia,MK17
309,Outokumpu,12,North Karelia,MK12
312,Kyyjärvi,13,Central Finland,MK13
316,Kärkölä,07,Päijät-Häme,MK07
317,Kärsämäki,17,North Ostrobothnia,MK17
318,Kökar,21,Åland,
320,Kemijärvi,19,Lapland,MK19
322,Kimitoön,02,Southwest Finland,MK02
398,Lahti,07,Päijät-Häme,MK07
399,Laihia,15,Ostrobothnia,MK15
400,Laitila,02,Southwest Finland,MK02
402,Lapinlahti,11,North Savo,MK11
403,Lappajärvi,14,South Ostrobothnia,MK14
405,Lappeenranta,09,South Karelia,MK09
407,Lapinjärvi,01,Uusimaa,MK01
408,Lapua,14,South Ostrobothnia,MK14
410,Laukaa,13,Central Finland,MK13
416,Lemi,09,South Karelia,MK09
417,Lemland,21,Åland,
418,Lempäälä,06,Pirkanmaa,MK06
420,Leppävirta,11,North Savo,MK11
421,Lestijärvi,16,Central Ostrobothnia,MK16
422,Lieksa,12,North Karelia,MK12
423,Lieto,02,Southwest Finland,MK02
425,Liminka,17,North Ostrobothnia,MK17
426,Liperi,12,North Karelia,MK12
430,Loimaa,02,Southwest Finland,MK02
433,Loppi,05,Kanta-Häme,MK05
434,Loviisa,01,Uusimaa,MK01
435,Luhanka,13,Central Finland,MK13
436,Lumijoki,17,North Ostrobothnia,MK17
438,Lumparland,21,Åland,
440,Larsmo,15,Ostrobothnia,MK15
441,Luumäki,09,South Karelia,MK09
444,Lohja,01,Uusimaa,MK01
445,Pargas,02,Southwest Finland,MK02
475,Malax,15,Ostrobothnia,MK15
478,Mariehamn,21,Åland,
480,Marttila,02,Southwest Finland,MK02
481,Masku,02,Southwest Finland,MK02
483,Merijärvi,17,North Ostrobothnia,MK17
484,Merikarvia,04,Satakunta,MK04
489,Miehikkälä,08,Kymenlaakso,MK08
491,Mikkeli,10,South Savo,MK10
494,Muhos,17,North Ostrobothnia,MK17
495,Multia,13,Central Finland,MK13
498,Muonio,19,Lapland,MK19
499,Korsholm,15,Ostrobothnia,MK15
500,Muurame,13,Central Finland,MK13
503,Mynämäki,02,Southwest Finland,MK02
504,Myrskylä,01,Uusimaa,MK01
505,Mäntsälä,01,Uusimaa,MK01
507,Mäntyharju,10,South Savo,MK10
508,Mänttä-Vilppula,06,Pirkanmaa,MK06
529,Naantali,02,Southwest Finland,MK02
531,Nakkila,04,Satakunta,MK04
535,Nivala,17,North Ostrobothnia,MK17
536,Nokia,06,Pirkanmaa,MK06
538,Nousiainen,02,Southwest Finland,MK02
541,Nurmes,12,North Karelia,MK12
543,Nurmijärvi,01,Uusimaa,MK01
545,Närpes,15,Ostrobothnia,MK15
560,Orimattila,07,Päijät-Häme,MK07
561,Oripää,02,Southwest Finland,MK02
562,Orivesi,06,Pirkanmaa,MK06
563,Oulainen,17,North Ostrobothnia,MK17
564,Oulu,17,North Ostrobothnia,MK17
576,Padasjoki,07,Päijät-Häme,MK07
577,Paimio,02,Southwest Finland,MK02
578,Paltamo,18,Kainuu,MK18
580,Parikkala,09,South Karelia,MK09
581,Parkano,06,Pirkanmaa,MK06
583,Pelkosenniemi,19,Lapland,MK19
584,Perho,16,Central Ostrobothnia,MK16
592,Petäjävesi,13,Central Finland,MK13
593,Pieksämäki,10,South Savo,MK10
595,Pielavesi,11,North Savo,MK11
598,Jakobstad,15,Ostrobothnia,MK15
599,Pedersöre,15,Ostrobothnia,MK15
601,Pihtipudas,13,Central Finland,MK13
604,Pirkkala,06,Pirkanmaa,MK06
607,Polvijärvi,12,North Karelia,MK12
608,Pomarkku,04,Satakunta,MK04
609,Pori,04,Satakunta,MK04
611,Pornainen,01,Uusimaa,MK01
614,Posio,19,Lapland,MK19
615,Pudasjärvi,17,North Ostrobothnia,MK17
616,Pukkila,01,Uusimaa,MK01
619,Punkalaidun,06,Pirkanmaa,MK06
620,Puolanka,18,Kainuu,MK18
623,Puumala,10,South Savo,MK10
624,Pyhtää,08,Kymenlaakso,MK08
625,Pyhäjoki,17,North Ostrobothnia,MK17
626,Pyhäjärvi,17,North Ostrobothnia,MK17
630,Pyhäntä,17,North Ostrobothnia,MK17
631,Pyhäranta,02,Southwest Finland,MK02
635,Pälkäne,06,Pirkanmaa,MK06
636,Pöytyä,02,Southwest Finland,MK02
638,Porvoo,01,Uusimaa,MK01
678,Raahe,17,North Ostrobothnia,MK17
680,Raisio,02,Southwest Finland,MK02
681,Rantasalmi,10,South Savo,MK10
683,Ranua,19,Lapland,MK19
684,Rauma,04,Satakunta,MK04
686,Rautalampi,11,North Savo,MK11
